content_id,content_type,title_english,maturity_rating,audio_languages,release_year,monetization_model,genre_normalized,synopsis_text,era_bucket,maturity_tags,cast_size,has_imdb_id,has_imdb_rating,director_names,actor_names,producer_names,storyline_tags,overall_tone_tags,tag_low_confidence,_storyline,_tone,_maturity,_director,_actor,item_id
4c0b2d74-74ff-4b6f-bc3f-9d01dc654ae2,movie,শ্রীস্বপনকুমারের বাদামী হায়নার কবলে,U/A 13+,"[""BN""]",2024,SVOD,Pulp Thriller,"বাদামী হায়না হানা দিয়েছে কলকাতায়। দীপক চ্যাটার্জী, শ্রীস্বপনকুমারের সৃষ্টি কালজয়ী গোয়েন্দা, পাল্প ফিকশনের জগৎ থেকে পদার্পণ করেছে বাস্তবে, নিজের শহরকে রক্ষা করতে। সে কি পারবে স্বপ্নকুমারের অদ্ভুত গোলকধাঁধা থেকে নিজেকে বাঁচিয়ে সবাইকে রক্ষা করতে?",2020s,"[""Violence"", ""Smoking"", ""Alcohol"", ""Foul Language""]",0,False,False,[],[],[],"[""crime_investigation"", ""deception_disguise"", ""life_threat""]","[""suspenseful"", ""mysterious"", ""tense""]",False,"['crime_investigation', 'deception_disguise', 'life_threat']","['suspenseful', 'mysterious', 'tense']","['alcohol', 'foul language', 'smoking', 'violence']",[],[],movie::4c0b2d74-74ff-4b6f-bc3f-9d01dc654ae2
3626fe14-ada5-4e75-a33a-38de2435e56a,movie,Rainbow Jelly,U,"[""BN""]",2018,SVOD,Drama,"Ghoton, an autistic 12-year-old orphaned boy mistreated by his uncle, feels hopeful when a mysterious aunt promises to change his life with a magical recipe.",2010s,"[""Suitable for all ages""]",5,True,True,"[""Soukarya Ghosal""]","[""Mahabrata Basu"", ""Sreelekha Mitra"", ""Kaushik Sen"", ""Anumegha Banerjee"", ""Shantilal Mukherjee""]","[""Indigenous""]","[""family_conflict"", ""self_discovery""]","[""heartwarming"", ""emotional""]",False,"['family_conflict', 'self_discovery']","['heartwarming', 'emotional']",['suitable for all ages'],['Soukarya Ghosal'],"['Mahabrata Basu', 'Sreelekha Mitra', 'Kaushik Sen', 'Anumegha Banerjee', 'Shantilal Mukherjee']",movie::3626fe14-ada5-4e75-a33a-38de2435e56a
8ad1551e-1465-4cfc-8dc2-e75378ac7d76,movie,Pariah,A 18+,"[""BN""]",2024,SVOD,Thriller,"When his beloved puppy goes missing and the world turns a blind eye, a common man snaps. Fueled by anger and love, he becomes a one-man army for the voiceless animals. As he dives into the city’s dark side, his quest for justice turns into a gripping fight against cruelty and indifference.",2020s,"[""Violence"", ""Alcohol"", ""Smoking"", ""Mature themes"", ""Gore"", ""Foul Language""]",5,True,True,"[""Tathagata Mukherjee""]","[""Vikram Chatterjee"", ""Angana Roy"", ""Soumya Mukherjee"", ""Sreelekha Mitra"", ""Ambarish Bhattacharya""]","[""Dreams on Sale""]","[""social_injustice"", ""life_threat""]","[""tense"", ""intense"", ""dark""]",False,"['social_injustice', 'life_threat']","['tense', 'intense', 'dark']","['alcohol', 'foul language', 'gore', 'mature themes', 'smoking', 'violence']",['Tathagata Mukherjee'],"['Vikram Chatterjee', 'Angana Roy', 'Soumya Mukherjee', 'Sreelekha Mitra', 'Ambarish Bhattacharya']",movie::8ad1551e-1465-4cfc-8dc2-e75378ac7d76
fdc494da-7671-4b1e-be67-1b34299a9289,movie,Dharmajuddha,U/A 13+,"[""BN""]",2022,SVOD,Drama,"When a riot breaks out in the small town of Ismailpur, four strangers take shelter in an old woman’s house. But as fear and anger grow, they begin to clash with each other. What starts as a night of safety turns into a tense and life-changing experience none of them will forget.",2020s,"[""Violence"", ""Smoking"", ""Foul Language""]",7,True,False,"[""Raj Chakraborty""]","[""Swatilekha Sengupta"", ""Ritwick Chakraborty"", ""Subhashree Ganguly"", ""Soham Chakraborty"", ""Parno Mittra"", ""Koushik Roy"", ""Saptarshi Maulik""]","[""Raj Chakraborty Entertainment""]","[""political_unrest"", ""survival"", ""betrayal""]","[""tense"", ""dark"", ""dramatic""]",False,"['political_unrest', 'survival', 'betrayal']","['tense', 'dark', 'dramatic']","['foul language', 'smoking', 'violence']",['Raj Chakraborty'],"['Swatilekha Sengupta', 'Ritwick Chakraborty', 'Subhashree Ganguly', 'Soham Chakraborty', 'Parno Mittra', 'Koushik Roy', 'Saptarshi Maulik']",movie::fdc494da-7671-4b1e-be67-1b34299a9289
5b17fde3-18d2-4ee5-a703-1556ff8b101d,movie,Pradhan,U/A 13+,"[""BN""]",2023,SVOD,Social Drama,"Honest cop Deepak Pradhan is posted in the quiet hill town of Dharmapur, only to find it ruled by corruption. With the local leader behind it all, Deepak decides to fight back. In a tough battle for truth, he risks everything to stand up for what’s right and protect the people.",2020s,"[""Violence"", ""Smoking"", ""Alcohol"", ""Foul Language""]",6,True,False,"[""Avijit Sen""]","[""Dev"", ""Paran Bandopadhyay"", ""Anirban Chakrabarti"", ""Mamata Shankar"", ""Soham Chakraborty"", ""Soumitrisha Kundoo""]","[""Dev Entertainment Ventures Pvt Ltd""]","[""social_injustice"", ""political_unrest"", ""life_threat""]","[""intense"", ""dramatic"", ""tense""]",False,"['social_injustice', 'political_unrest', 'life_threat']","['intense', 'dramatic', 'tense']","['alcohol', 'foul language', 'smoking', 'violence']",['Avijit Sen'],"['Dev', 'Paran Bandopadhyay', 'Anirban Chakrabarti', 'Mamata Shankar', 'Soham Chakraborty', 'Soumitrisha Kundoo']",movie::5b17fde3-18d2-4ee5-a703-1556ff8b101d
94f7746e-afd9-41ca-9429-8df336a9440d,movie,Toofan,U/A 16+,"[""BN""]",2024,SVOD,Thriller,"Ghalib Bin Goni, born to kill, rises through violence to become Toofan—the most feared mafia don in Bangladesh. From the streets to the top of the underworld, his bloody journey shakes everything around him in this action-packed global Bengali blockbuster.",2020s,"[""Violence"", ""Alcohol"", ""Smoking"", ""Substance Use"", ""Mature themes""]",5,True,False,"[""Raihan Rafi""]","[""Shakib Khan"", ""Mimi Chakraborty"", ""Masuma Rahman Nabila"", ""Chanchal Chowdhury"", ""Misa Sawdagar""]","[""Chorki"", ""Alpha I Studios Ltd"", ""SVF Entertainment Pvt Ltd""]","[""life_threat"", ""survival""]","[""intense"", ""dark"", ""tense""]",True,"['life_threat', 'survival']","['intense', 'dark', 'tense']","['alcohol', 'mature themes', 'smoking', 'substance use', 'violence']",['Raihan Rafi'],"['Shakib Khan', 'Mimi Chakraborty', 'Masuma Rahman Nabila', 'Chanchal Chowdhury', 'Misa Sawdagar']",movie::94f7746e-afd9-41ca-9429-8df336a9440d
ce9788f1-b4c6-4aa9-a1f1-92f70df3c194,movie,Mishti Premer Crispy Golpo,U,"[""BN""]",2024,FREE,Romance,"Sunaina persuades Durbar, who has been struggling as an actor, to meet her for a date at KFC during the festivities. However, due to unforeseen circumstances, Durbar’s brother Bittu tags along, causing a misunderstanding that jeopardises Durbar’s love story. Does Sunaina return to Durbar's life?",2020s,"[""Suitable for all ages""]",2,False,False,"[""Sayantan Dhara""]","[""Anindya Sengupta"", ""Aishwarya Sen""]","[""hoichoi""]","[""comedy_of_errors"", ""reconciliation""]","[""comedic"", ""heartwarming""]",False,"['comedy_of_errors', 'reconciliation']","['comedic', 'heartwarming']",['suitable for all ages'],['Sayantan Dhara'],"['Anindya Sengupta', 'Aishwarya Sen']",movie::ce9788f1-b4c6-4aa9-a1f1-92f70df3c194
6ac1a4d2-646e-497c-af27-d071793db0ea,movie,Bondhura Elo Melo,U,"[""BN""]",2024,FREE,Drama,"Three friends receive a letter from their childhood friend Turjo, asking to meet one last time. They each set out from their own locations, believing this will be their final reunion with him. However, once they meet him something unexpected happens.",2020s,"[""Suitable for all ages""]",2,False,False,"[""Sayantan Dhara""]","[""Rwitobroto Mukherjee"", ""Aryann Bhowmik""]","[""hoichoi""]","[""reconciliation"", ""self_discovery""]","[""emotional"", ""bittersweet""]",True,"['reconciliation', 'self_discovery']","['emotional', 'bittersweet']",['suitable for all ages'],['Sayantan Dhara'],"['Rwitobroto Mukherjee', 'Aryann Bhowmik']",movie::6ac1a4d2-646e-497c-af27-d071793db0ea
6279f5ef-d5d6-40c8-ac10-f88a826aa641,movie,Bondhu Chol,U,"[""BN""]",2024,FREE,Comedy Drama,"Sourav and Rishav plan a trip but are stunned when Ananya backs out for her food stall opening. Determined, they enter a mysterious contest. As the day arrives, Ananya faces an unexpected surprise that changes everything.",2020s,"[""Suitable for all ages""]",6,False,True,"[""Sayantan Ghosal""]","[""Anirban Bhattacharya"", ""Priyanka Sarkar"", ""Arjun Chakrabarty"", ""Riddhi Sen"", ""Rwitobroto Mukherjee"", ""Ananya Sen""]","[""hoichoi""]","[""comedy_of_errors""]","[""comedic"", ""heartwarming""]",True,['comedy_of_errors'],"['comedic', 'heartwarming']",['suitable for all ages'],['Sayantan Ghosal'],"['Anirban Bhattacharya', 'Priyanka Sarkar', 'Arjun Chakrabarty', 'Riddhi Sen', 'Rwitobroto Mukherjee', 'Ananya Sen']",movie::6279f5ef-d5d6-40c8-ac10-f88a826aa641
f274a114-bf20-4e71-bc42-cdbe524bbaa0,movie,Kolkatay Kohinoor,U,"[""BN""]",2019,SVOD,Thriller Drama,A team of historians undertake a dangerous treasure hunt to uncover the mysterious past of the Kohinoor diamond and discover its startling connection to the city of joy!,2010s,"[""Suitable for all ages""]",4,False,True,"[""Santanu Ghosh""]","[""Soumitra Chatterjee"", ""Sabyasachi Chakrabarty"", ""Debdut Ghosh"", ""Indrani Dutta""]","[""Angurbala Films""]","[""cover_up"", ""life_threat""]","[""mysterious"", ""suspenseful""]",True,"['cover_up', 'life_threat']","['mysterious', 'suspenseful']",['suitable for all ages'],['Santanu Ghosh'],"['Soumitra Chatterjee', 'Sabyasachi Chakrabarty', 'Debdut Ghosh', 'Indrani Dutta']",movie::f274a114-bf20-4e71-bc42-cdbe524bbaa0
0cbe7649-a25c-43da-8f97-41ca80b06f46,movie,Kishmish,U,"[""BN""]",2022,SVOD,Romantic,"Tintin, a young comic artist, and Rohini, a smart and ambitious girl, fall in love in college. But when they plan to marry, their parents' painful past comes in the way. As love faces old wounds and family secrets, will they get their happy ending—or lose each other forever?",2020s,"[""Suitable for all ages""]",4,False,False,"[""Rahool Mukherjee""]","[""Dev"", ""Rukmini Maitra"", ""Kharaj Mukherjee"", ""June Malia""]","[""Dev Entertainment Ventures Pvt Ltd""]","[""family_secrets"", ""family_conflict"", ""forbidden_love""]","[""emotional"", ""bittersweet"", ""dramatic""]",False,"['family_secrets', 'family_conflict', 'forbidden_love']","['emotional', 'bittersweet', 'dramatic']",['suitable for all ages'],['Rahool Mukherjee'],"['Dev', 'Rukmini Maitra', 'Kharaj Mukherjee', 'June Malia']",movie::0cbe7649-a25c-43da-8f97-41ca80b06f46
